model,MAE,MSE,R2
LinearRegression,82657.9460589176,10549721686.157969,0.9146454505138175
RobustRegression,199465.55955429244,61664910393.2492,0.5010881990728201
RidgeRegression,82659.67244409773,10549745186.670168,0.9146452603784101
LassoRegression,82657.9466217223,10549717660.356377,0.9146454830853386
ElasticNet,99126.80843102589,15081376466.55959,0.8779812271613102
PloynomialRegression,84100.32277234242,10870737335.212276,0.9120482117507328
SGDRegressor,1.1353610529935658e+17,1.7344352340155255e+34,-1.4032781377218592e+23
ANN,199508.0478194376,61540203903.297195,0.5020971608809617
RandomForest,97679.10142978332,14946614556.458231,0.8790715442774187
SVM,282947.68758691323,123546565157.52672,0.0004227861838135283
LGBM,92133.9888284538,13097708114.507051,0.8940304769478327
XGBoost,125498.49279413722,25331999851.85469,0.7950465899232138
KNN,198086.23684543537,60395811313.31432,0.5113560889227768
